PQ2A.190305.002	9.0.0	Pixel 3 XL, Pixel 3, Pixel 2 XL, Pixel 2, Pixel XL, Pixel
PQ2A.190205.003	9.0.0	Pixel XL, Pixel
PQ2A.190205.002	9.0.0	Pixel 2 XL, Pixel 2
PQ2A.190205.001	9.0.0	Pixel 3 XL, Pixel 3
PQ1A.190105.004	9.0.0	Pixel 3 XL, Pixel 3, Pixel 2 XL, Pixel 2, Pixel XL, Pixel
PQ1A.181205.006.A1	9.0.0	Pixel 3 XL, Pixel 3
PQ1A.181205.006	9.0.0	Pixel 3 XL, Pixel 3
PQ1A.181205.002.A1	9.0.0	Pixel XL, Pixel
PQ1A.181205.002	9.0.0	Pixel 2 XL, Pixel 2
PPR2.181005.003.A1	9.0.0	Pixel XL, Pixel
PPR1.181005.003.A1	9.0.0	Pixel XL, Pixel
PQ1A.181105.017.A1	9.0.0	Pixel 3 XL, Pixel 3, Pixel 2 XL, Pixel 2
PD1A.180720.031	9.0.0	Pixel 3 XL, Pixel 3
PD1A.180720.030	9.0.0	Pixel 3 XL, Pixel 3
PPR2.181005.003	9.0.0	Pixel XL, Pixel, Pixel 2 XL, Pixel 2
PPR1.181005.003	9.0.0	Pixel XL, Pixel
PPR2.180905.006.A1	9.0.0	Pixel XL, Pixel
PPR2.180905.006	9.0.0	Pixel XL, Pixel
PPR2.180905.005	9.0.0	Pixel 2 XL, Pixel 2
PPR1.180905.003	9.0.0	Pixel XL, Pixel
PPR1.180610.011	9.0.0	Pixel 2 XL, Pixel 2
PPR1.180610.010	9.0.0	Pixel XL, Pixel
PPR1.180610.009	9.0.0	Pixel 2 XL, Pixel 2, Pixel XL, Pixel
OPM8.190305.001	8.1.0	Pixel C
OPM8.190205.001	8.1.0	Pixel C
OPM8.190105.002	8.1.0	Pixel C
OPM8.181205.001	8.1.0	Pixel C
OPM7.181205.001	8.1.0	Nexus 5X, Nexus 6P
OPM8.181105.002	8.1.0	Pixel C
OPM7.181105.004	8.1.0	Nexus 5X, Nexus 6P
OPM8.181005.003	8.1.0	Pixel C
OPM7.181005.003	8.1.0	Nexus 5X, Nexus 6P
